REFUOID	U_WGS84X	U_WGS84Y	JAHR	MONAT	WOCHENTAG	U_GEMNR2	U_GEMNAME	U_GEBIET	U_GEBIET_T	U_LICHT	U_LICHT_T	U_UNF_TYP	U_UNF_TYP_T	UHRZEIT	BETEILIGUNG
6097687446	16,29077464	48,17087246	2013	1	Tue	91301	Wien	1	Ortsgebiet			851	Fuﬂg‰nger auf Fahrbahn - von rechts	15 bis 18 Uhr	Fussgaenger:in, Pkw
6097687101	16,37479752	48,19190081	2013	1	Mon	90401	Wien	1	Ortsgebiet	2	Tageslicht	511	Rechtwinkelige Kollisionen - Kollision auf der Kreuzung	6 bis 9 Uhr	(Elektro-)Fahrrad, Pkw
6097686741	16,34811759	48,16650761	2013	1	Thu	91001	Wien	1	Ortsgebiet	3	D‰mmerung	141	Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden	6 bis 9 Uhr	Pkw, Pkw
6097687032	16,40878111	48,2601289	2013	1	Tue	92101	Wien	1	Ortsgebiet	2	Tageslicht	891	Sonstige Fuﬂg‰ngerunf‰lle - Sonstige	9 bis 12 Uhr	Fussgaenger:in, Pkw
6097687103	16,32696569	48,18003564	2013	1	Mon	91201	Wien	1	Ortsgebiet			823	beim Linksabbiegen - Fg.: gleiche Ann‰herungsrichtung	15 bis 18 Uhr	Fussgaenger:in, Pkw
6097690399	16,37058377	48,23156076	2013	1	Tue	92001	Wien	1	Ortsgebiet	4	Dunkelheit	511	Rechtwinkelige Kollisionen - Kollision auf der Kreuzung	18 bis 24 Uhr	Pkw, Pkw
6097691952	16,35675967	48,18296508	2013	1	Wed	90501	Wien	1	Ortsgebiet			322	Kollision beim Linksabbiegen - Linksabbieger mit Geradeausfahrendem	18 bis 24 Uhr	Pkw, Pkw
6097707608	16,37583822	48,17069	2013	1	Wed	91001	Wien	1	Ortsgebiet			511	Rechtwinkelige Kollisionen - Kollision auf der Kreuzung	18 bis 24 Uhr	Pkw, Pkw
6097707610	16,42051041	48,21415734	2013	1	Thu	90201	Wien	1	Ortsgebiet			151	Auffahren im Kreuzungsbereich - auf fahrendes Fahrzeug	0 bis 6 Uhr	Lkw, Pkw
6097687029	16,37385339	48,18195822	2013	1	Thu	91001	Wien	1	Ortsgebiet	2	Tageslicht	814	Fahrzeug biegt nicht ab - nach Querstraﬂe, Fuﬂg‰nger von links	9 bis 12 Uhr	Fussgaenger:in, Lkw
6097687736	16,45654857	48,26858875	2013	1	Thu	92101	Wien	1	Ortsgebiet	2	Tageslicht	224	Abkommen links d. entgegenkomm. Fahrzeug - auf der Geraden (ohne Kollision)	6 bis 9 Uhr	Pkw, Pkw
6097690903	16,36285365	48,21673633	2013	1	Mon	90901	Wien	1	Ortsgebiet	2	Tageslicht	823	beim Linksabbiegen - Fg.: gleiche Ann‰herungsrichtung	12 bis 15 Uhr	Fussgaenger:in, Pkw
6097686852	16,3837561	48,17328549	2013	1	Wed	91001	Wien	1	Ortsgebiet			511	Rechtwinkelige Kollisionen - Kollision auf der Kreuzung	18 bis 24 Uhr	Pkw, Pkw
